timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2026-09-04T12:34:59.999Z,BTC-USD,SELL,79820.03,0.01,replay:raw scored SELL crossover at 79820.03 -> 79250 after 12 candles.,replay:raw,WIN,0.7141
2026-09-04T15:39:59.999Z,BTC-USD,BUY,79535.58,0.01,replay:raw scored BUY crossover at 79535.58 -> 79707.35 after 12 candles.,replay:raw,WIN,0.216
2026-09-04T17:44:59.999Z,BTC-USD,SELL,79481.25,0.01,replay:raw scored SELL crossover at 79481.25 -> 79640.73 after 12 candles.,replay:raw,LOSS,-0.2007
2026-09-04T18:44:59.999Z,BTC-USD,BUY,79640.73,0.01,replay:raw scored BUY crossover at 79640.73 -> 79699.9 after 12 candles.,replay:raw,WIN,0.0743
2026-09-04T20:59:59.999Z,BTC-USD,SELL,79718.63,0.01,replay:raw scored SELL crossover at 79718.63 -> 79654.12 after 12 candles.,replay:raw,WIN,0.0809
2026-09-04T21:34:59.999Z,BTC-USD,BUY,79817.56,0.01,replay:raw scored BUY crossover at 79817.56 -> 79693.39 after 12 candles.,replay:raw,LOSS,-0.1556
2026-09-04T21:59:59.999Z,BTC-USD,SELL,79654.12,0.01,replay:raw scored SELL crossover at 79654.12 -> 79654.1 after 12 candles.,replay:raw,WIN,0
2026-09-04T23:59:59.999Z,BTC-USD,BUY,79675.12,0.01,replay:raw scored BUY crossover at 79675.12 -> 79600.8 after 12 candles.,replay:raw,LOSS,-0.0933
2026-09-05T00:09:59.999Z,BTC-USD,SELL,79673.98,0.01,replay:raw scored SELL crossover at 79673.98 -> 79663.96 after 12 candles.,replay:raw,WIN,0.0126
2026-09-05T01:34:59.999Z,BTC-USD,BUY,79694.64,0.01,replay:raw scored BUY crossover at 79694.64 -> 79584.74 after 12 candles.,replay:raw,LOSS,-0.1379
2026-09-05T02:04:59.999Z,BTC-USD,SELL,79535.68,0.01,replay:raw scored SELL crossover at 79535.68 -> 79573.08 after 12 candles.,replay:raw,LOSS,-0.047
2026-09-05T03:24:59.999Z,BTC-USD,BUY,79619.43,0.01,replay:raw scored BUY crossover at 79619.43 -> 79583.16 after 12 candles.,replay:raw,LOSS,-0.0456
2026-09-05T03:29:59.999Z,BTC-USD,SELL,79597.39,0.01,replay:raw scored SELL crossover at 79597.39 -> 79566.1 after 12 candles.,replay:raw,WIN,0.0393
2026-09-05T03:34:59.999Z,BTC-USD,BUY,79617.15,0.01,replay:raw scored BUY crossover at 79617.15 -> 79571.83 after 12 candles.,replay:raw,LOSS,-0.0569
2026-09-05T04:29:59.999Z,BTC-USD,SELL,79566.1,0.01,replay:raw scored SELL crossover at 79566.1 -> 79598.81 after 12 candles.,replay:raw,LOSS,-0.0411
2026-09-05T05:49:59.999Z,BTC-USD,BUY,79513.3,0.01,replay:raw scored BUY crossover at 79513.3 -> 79684.99 after 12 candles.,replay:raw,WIN,0.2159
2026-09-05T08:24:59.999Z,BTC-USD,SELL,79652.52,0.01,replay:raw scored SELL crossover at 79652.52 -> 79697.24 after 12 candles.,replay:raw,LOSS,-0.0561
2026-09-05T09:29:59.999Z,BTC-USD,BUY,79698.83,0.01,replay:raw scored BUY crossover at 79698.83 -> 79615.45 after 12 candles.,replay:raw,LOSS,-0.1046
2026-09-05T10:14:59.999Z,BTC-USD,SELL,79624.99,0.01,replay:raw scored SELL crossover at 79624.99 -> 79648.39 after 12 candles.,replay:raw,LOSS,-0.0294
2026-09-05T11:34:59.999Z,BTC-USD,BUY,79643.24,0.01,replay:raw scored BUY crossover at 79643.24 -> 79687.04 after 12 candles.,replay:raw,WIN,0.055
2026-09-05T13:59:59.999Z,BTC-USD,SELL,79624.51,0.01,replay:raw scored SELL crossover at 79624.51 -> 79723.2 after 12 candles.,replay:raw,LOSS,-0.1239
2026-09-05T14:44:59.999Z,BTC-USD,BUY,79721.17,0.01,replay:raw scored BUY crossover at 79721.17 -> 79750 after 12 candles.,replay:raw,WIN,0.0362
